name,address,city,postcode,latitude,longitude,website,logo
Bow Valley,345 - 6 Avenue SE,Calgary,T2G 4V1,43.76076,-94.16027,https://bowvalleycollege.ca/,https://study.alberta.ca/media/61719/bow-valley-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339559700000
Keyano,8115 Franklin Avenue,Fort McMurray,T9H 2H7,56.71381,-111.348,https://www.keyano.ca/en/index.aspx,https://study.alberta.ca/media/61717/keyano-logo1.jpg?crop=0,0,0,0&cropmode=percentage&width=80&height=80&rnd=132821339613570000
Lakeland,5707 College Drive,Vermilion,T9X 1K5,30.43777,-91.13083,https://www.lakelandcollege.ca/,https://study.alberta.ca/media/61721/lakeland_sq.png?anchor=center&mode=crop&width=80&height=80&rnd=132821339685500000
Lethbridge,3000 College Dr S,Lethbridge,T1K 1L6,49.66271,-112.80732,https://lethbridgecollege.ca/,https://study.alberta.ca/media/61760/lethbridge-college-logo1.jpg?crop=0,0,0,0&cropmode=percentage&width=80&height=80&rnd=132821339710870000
Medicine Hat,299 College Dr SE,Medicine Hat,T1A 3Y6,50.01706,-110.6845,https://www.mhc.ab.ca/,https://study.alberta.ca/media/61723/medicine-hat-college1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339675900000
NorQuest,10215 108 St NW,Edmonton,T5J 1L6,53.54381,-113.505666,https://www.norquest.ca/,https://study.alberta.ca/media/61724/norquest-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339728530000
Northern Lakes,1201 Main St SE,Slave Lake,T0G 2A3,55.272709,-114.78468,https://www.northernlakescollege.ca/,https://study.alberta.ca/media/61725/northern-lakes-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339782400000
Olds,4500 - 50th Street,Olds,T4H 1R6,51.791404,-114.096104,https://www.oldscollege.ca/,https://study.alberta.ca/media/61726/olds-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339595800000
Portage,9531 94 Ave,Lac la Biche,T0A 2C0,54.765542,-111.968352,https://www.portagecollege.ca/,https://study.alberta.ca/media/61727/portage-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339632070000
The Banff Centre,107 Tunnel Mountain Dr,Banff,T1L 1H5,51.172091,-115.562359,https://www.banffcentre.ca/,https://study.alberta.ca/media/61729/banff-centre-logo1.jpg?anchor=center&mode=crop&width=80&height=80&rnd=132821339791200000
